name,slug,latitude,longitude
Monthermé,montherme,49.865621,4.74053
Deville,deville,49.8796028,4.7072062
Laifour,laifour,49.911256,4.6923484
Revin,revin,49.938756,4.642536
Fumay,fumay,49.986048,4.6926
Haybes,haybes,50.0116888,4.7045378
Vireux-Molhain,vireux-molhain,50.0827968,4.7233909
Aubrives,aubrives,50.1044507,4.7616512
Givet,givet,50.14025067,4.81798595
Lumes,lumes,49.7327973,4.7833571
Nouvion-sur-Meuse,nouvion-sur-meuse,49.6973135,4.794973
Vrigne-Meuse,vrigne-meuse,49.7010822,4.8438063
Donchery,donchery,49.6981267,4.8747529
Amagne—Lucquy,amagne-lucquy,49.5238187,4.4738775
Rethel,rethel,49.504393,4.369566
Pont-Maugis,pont-maugis,49.666667,4.95
Bazeilles,bazeilles,49.666667,4.983333
Douzy,douzy,49.666667,5.05
Pouru-St-Rémy,pouru-st-remy,49.683333,5.083333
Sachy,sachy,49.666667,5.133333
Carignan,carignan,49.6285736,5.1684754
Blagny,blagny,49.616667,5.183333
Linay,linay,49.616667,5.216667
Margut Fromy,margut-fromy,49.590323,5.254995
Liart,liart,49.7700597,4.3355138
Beauchastel,beauchastel,44.833333,4.8
Remilly-Aillicourt,remilly-aillicourt,49.6518,4.993642
Bénestroff,benestroff,48.90656,6.75266
Bagnoles-de-l’Orne,bagnoles-de-lorne,,
Anchamps,anchamps,49.9307448,4.6702434
Fépin,fepin,50.0234644,4.7266156
Brest,brest,48.38811,-4.478903
Wadelincourt,wadelincourt,49.682651,4.937918
La Ferté-sur-Chiers,la-ferte-sur-chiers,49.566667,5.233333
Songy,songy,48.801708,4.495397
Loisy-sur-Marne,loisy-sur-marne,48.766667,4.55
Pringy (Marne),pringy-marne,48.783333,4.516667
Vitry-le-François,vitry-le-francois,48.718142,4.587581
Mourmelon-le-Petit,mourmelon-le-petit,49.1313076,4.3180982
Uxegney,uxegney,48.193876,6.370727
Bouy,bouy,49.09131,4.35292
Darnieulles,darnieulles,48.2,6.35
Mattaincourt,mattaincourt,48.283333,6.133333
St-Âme,st-ame,48.033333,6.666667
St-Âme—Le Syndicat,st-ame-le-syndicat,48.024474,6.686994
Suippes,suippes,49.120151,4.543885
Ste-Ménéhould,ste-menehould,49.1,4.866667
St-Dizier,st-dizier,48.642404,4.947855
Revigny,revigny,48.8240449,4.9855736
Nançois-Tronville,nancois-tronville,48.7180423,5.2912016
Fronville,fronville,48.4001829,5.1564405
Joinville,joinville,48.4442977,5.143503
Curel,curel,48.5,5.133333
Chevillon,chevillon,48.5245505,5.1117843
Bayard,bayard,48.5520296,5.0754439
Eurville,eurville,48.5828713,5.0449583
Villiers-en-Lieu,villiers-en-lieu,48.661135,4.896801
St-Eulien,st-eulien,48.683333,4.883333
Commercy,commercy,48.765749,5.58861
Berthelming,berthelming,48.8096475,7.0087859
Bouin,bouin,46.966667,-2
Les Islettes,les-islettes,49.10635,5.00184
Clermont-en-Argonne,clermont-en-argonne,49.10645,5.06506
Étain,etain,49.2074907,5.6398079
Vaucouleurs,vaucouleurs,,
Neuville-les-Vaucouleurs,neuville-les-vaucouleurs,48.583333,5.666667
Burey-en-Vaux,burey-en-vaux,48.566667,5.666667
Maxey-sur-Vaise,maxey-sur-vaise,48.533333,5.666667
Hasenrain,hasenrain,47.736281,7.3313559
Brunstatt,brunstatt,47.716667,7.316667
Flaxlanden,flaxlanden,47.6986924,7.3044703
Beillant,beillant,45.7007999,-0.5265079
Blesme-Haussignemont,blesme-haussignemont,48.7212565241044,4.7529923915863
Tagolsheim,tagolsheim,47.6549682,7.2641437
Walheim,walheim,47.6416406,7.2633202
Ballersdorf,ballersdorf,47.633333,7.166667
Biarritz,biarritz,43.459397,-1.545915
Valdieu,valdieu,47.6313155501495,7.05604434013367
Graffenwald,graffenwald,47.7808232,7.2247908
